App,Device,Hive_Position,Record_Type,DownloadTimeStamp,UTC_TimeStamp,Local_TimeStamp,Unix_Time,Sample,Metric,Battery,Temperature,Humidity,Scaled_Weight, Weight_Scale_Factor, Weight, WeightL, WeightLRaw, WeightR, WeightRRaw
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 16:46,9/23/22 10:46,1663951597,24,FALSE,100,77.93,,94.8,2,47.4,28.52,,18.88,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 16:47,9/23/22 10:47,1663951650,24,FALSE,100,77.93,,94.8,2,47.4,28.52,,18.88,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 16:51,9/23/22 10:51,1663951897,25,FALSE,100,78.2,,87.04,2,43.52,35.74,,7.78,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 16:56,9/23/22 10:56,1663952197,26,FALSE,100,78.42,,89.12,2,44.56,36.37,,8.19,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 16:57,9/23/22 10:57,1663952250,26,FALSE,100,78.42,,89.12,2,44.56,36.37,,8.19,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:01,9/23/22 11:01,1663952497,27,FALSE,100,78.56,,92.14,2,46.07,37.25,,8.82,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:06,9/23/22 11:06,1663952797,28,FALSE,100,78.49,,87.92,2,43.96,35.49,,8.47,
BAPP|S,52:02:63,Outside Hive,Logged_Data,1665433980,9/23/22 17:07,9/23/22 11:07,1663952850,5,FALSE,100,75.32,,,,,,,,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:07,9/23/22 11:07,1663952850,28,FALSE,100,78.49,,87.92,2,43.96,35.49,,8.47,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:11,9/23/22 11:11,1663953097,29,FALSE,100,78.54,,87.86,2,43.93,35.52,,8.41,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:16,9/23/22 11:16,1663953397,30,FALSE,100,78.69,,87.98,2,43.99,35.58,,8.41,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:17,9/23/22 11:17,1663953450,30,FALSE,100,78.69,,87.98,2,43.99,35.58,,8.41,
BAPP|S,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 17:17,9/23/22 11:17,1663953452,9,FALSE,100,92.51,58,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:21,9/23/22 11:21,1663953697,31,FALSE,100,78.72,,88.06,2,44.03,35.52,,8.51,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:26,9/23/22 11:26,1663953997,32,FALSE,100,78.54,,88.14,2,44.07,35.52,,8.55,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:27,9/23/22 11:27,1663954050,32,FALSE,100,78.54,,88.14,2,44.07,35.52,,8.55,
BAPP,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 17:28,9/23/22 11:28,1663954139,10,FALSE,100,93.32,60,,,,,,,
BAPP,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 17:29,9/23/22 11:29,1663954174,14,FALSE,100,93.54,67,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:31,9/23/22 11:31,1663954297,33,FALSE,100,78.63,,88.14,2,44.07,35.59,,8.48,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:36,9/23/22 11:36,1663954597,34,FALSE,100,78.85,,88.2,2,44.1,35.58,,8.52,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:37,9/23/22 11:37,1663954650,34,FALSE,100,78.85,,88.2,2,44.1,35.58,,8.52,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:41,9/23/22 11:41,1663954897,35,FALSE,100,79.03,,88.3,2,44.15,35.64,,8.51,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:46,9/23/22 11:46,1663955197,36,FALSE,100,79.28,,88.28,2,44.14,35.62,,8.52,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:47,9/23/22 11:47,1663955250,36,FALSE,100,79.28,,88.28,2,44.14,35.62,,8.52,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:51,9/23/22 11:51,1663955497,37,FALSE,100,79.68,,88.42,2,44.21,35.65,,8.56,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:56,9/23/22 11:56,1663955797,38,FALSE,100,80.67,,88.3,2,44.15,35.61,,8.54,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 17:57,9/23/22 11:57,1663955850,38,FALSE,100,80.67,,88.3,2,44.15,35.61,,8.54,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:01,9/23/22 12:01,1663956097,39,FALSE,100,81.44,,88.42,2,44.21,35.61,,8.6,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:06,9/23/22 12:06,1663956397,40,FALSE,100,81.75,,88.44,2,44.22,35.74,,8.48,
BAPP|S,52:02:63,Outside Hive,Logged_Data,1665433980,9/23/22 18:07,9/23/22 12:07,1663956450,6,FALSE,100,76.24,,,,,,,,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:07,9/23/22 12:07,1663956450,40,FALSE,100,81.75,,88.44,2,44.22,35.74,,8.48,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:11,9/23/22 12:11,1663956697,41,FALSE,100,81.82,,88.4,2,44.2,35.75,,8.45,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:16,9/23/22 12:16,1663956997,42,FALSE,100,81.71,,88.38,2,44.19,35.77,,8.42,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:17,9/23/22 12:17,1663957050,42,FALSE,100,81.71,,88.38,2,44.19,35.77,,8.42,
BAPP|S,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 18:17,9/23/22 12:17,1663957052,10,FALSE,100,93.32,64,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:21,9/23/22 12:21,1663957297,43,FALSE,100,81.8,,88.56,2,44.28,35.86,,8.42,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:26,9/23/22 12:26,1663957597,44,FALSE,100,81.86,,88.64,2,44.32,35.82,,8.5,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:27,9/23/22 12:27,1663957650,44,FALSE,100,81.86,,88.64,2,44.32,35.82,,8.5,
BAPP,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 18:27,9/23/22 12:27,1663957664,23,FALSE,100,93.5,67,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:29,9/23/22 12:29,1663957748,46,FALSE,100,81.98,,88.68,2,44.34,35.82,,8.52,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:29,9/23/22 12:29,1663957751,49,FALSE,100,82,,88.68,2,44.34,35.82,,8.52,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:29,9/23/22 12:29,1663957752,50,FALSE,100,81.95,,88.68,2,44.34,35.82,,8.52,
BAPP,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 18:29,9/23/22 12:29,1663957774,17,FALSE,100,93.52,67,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:34,9/23/22 12:34,1663958053,51,FALSE,100,82.2,,88.54,2,44.27,35.8,,8.47,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:37,9/23/22 12:37,1663958250,51,FALSE,100,82.2,,88.54,2,44.27,35.8,,8.47,
BAPP|S,56:0B:63,Above Lower Brood Box,Logged_Data,1665433980,9/23/22 18:37,9/23/22 12:37,1663958251,23,FALSE,100,93.5,64,,,,,,,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:39,9/23/22 12:39,1663958353,52,FALSE,100,82.29,,88.48,2,44.24,35.79,,8.45,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:44,9/23/22 12:44,1663958653,53,FALSE,100,82.43,,88.54,2,44.27,35.82,,8.45,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:47,9/23/22 12:47,1663958850,53,FALSE,100,82.43,,88.54,2,44.27,35.82,,8.45,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:49,9/23/22 12:49,1663958953,54,FALSE,100,82.16,,88.62,2,44.31,35.82,,8.49,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:54,9/23/22 12:54,1663959253,55,FALSE,100,81.93,,88.58,2,44.29,35.81,,8.48,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:57,9/23/22 12:57,1663959450,55,FALSE,100,81.93,,88.58,2,44.29,35.81,,8.48,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 18:59,9/23/22 12:59,1663959553,56,FALSE,100,81.75,,88.58,2,44.29,35.8,,8.49,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 19:04,9/23/22 13:04,1663959853,57,FALSE,100,81.69,,88.66,2,44.33,35.83,,8.5,
BAPP|S,52:02:63,Outside Hive,Logged_Data,1665433980,9/23/22 19:07,9/23/22 13:07,1663960050,7,FALSE,100,78.2,,,,,,,,
BAPP|S,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 19:07,9/23/22 13:07,1663960050,57,FALSE,100,81.69,,88.66,2,44.33,35.83,,8.5,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 19:09,9/23/22 13:09,1663960153,58,FALSE,100,81.69,,88.64,2,44.32,35.86,,8.46,
BAPP,57:06:00,Scale Under Hive,Logged_Data,1665433980,9/23/22 19:14,9/23/22 13:14,1663960453,59,FALSE,100,81.77,,88.68,2,44.34,35.87,,8.47,
